Refinery_ID,Refinery_Name,Emirate,Operator,Capacity_BPD,Commissioned_Year,No_of_Employees,Crude_Source,Annual_Throughput_Million_Tons,Environmental_Rating,Petrol_Output_BPD,Diesel_Output_BPD,Gas_Output_BPD,Employee_Category,Average_Salary_AED
R013,Jebel Ali Refinery,Ras Al Khaimah,Fujairah Energy,809530,2010,1529,Mixed,20.29,9.45,389181,296448,123900,Maintenance,24526
R014,Dubai Energy Refinery,Fujairah,Emirates Petrochem,512708,2002,1418,Imported,13.03,7.25,175622,229526,107559,Maintenance,24282
R015,Al Ain Petro,Sharjah,ADNOC Refining,859727,2012,1194,Onshore,11.7,6.82,310098,444896,104732,Maintenance,20539
R016,ADNOC Refining Plant,Ajman,Emirates Petrochem,770688,1992,1296,Imported,22.96,6.95,300899,338333,131455,Engineering,19805
R017,ADNOC Refining Plant,Fujairah,RAK Oil,318450,2012,2217,Onshore,7.11,6.79,84369,156599,77480,Operations,12422
R018,Ajman Refinery,Dubai,Sharjah Refining Ltd.,884850,1977,1745,Offshore,17.64,8.2,295073,443729,146046,Engineering,12220
R019,ADNOC Refining Plant,Abu Dhabi,ADNOC Refining,658649,2017,1820,Offshore,20.43,7.06,254792,312010,91846,Administration,22740
R020,Ajman Refinery,Fujairah,ENOC,232496,1999,468,Imported,4.04,8.74,88355,92696,51443,Administration,19358
R021,Ruwais Refinery,Fujairah,ADNOC Refining,586328,1977,2340,Mixed,2.69,8.99,244650,236155,105522,Administration,16480
R022,Dubai Energy Refinery,Sharjah,Sharjah Refining Ltd.,307776,2012,570,Mixed,4.75,7.31,105691,125263,76821,Administration,24969
R023,Al Ain Petro,Ajman,UAE National Oil Co.,525660,2013,1030,Mixed,23.69,8.69,155782,290322,79555,Engineering,15824
R024,Ajman Refinery,Dubai,Gulf Energy,229764,1982,1701,Imported,19.22,7.44,92785,100743,36234,Engineering,19583
R025,Al Ain Petro,Sharjah,ENOC,205271,1990,785,Mixed,17.07,7.17,97716,76195,31358,Maintenance,11277
R026,ADNOC Refining Plant,Fujairah,Fujairah Energy,190673,2009,2425,Imported,18.41,9.84,57712,92790,40170,Operations,9176
R027,ADNOC Refining Plant,Dubai,ENOC,87957,1988,1891,Offshore,31.61,8,41479,35510,10966,Administration,12087
R028,Fujairah Refinery,Ajman,ENOC,156030,2004,2118,Onshore,13.79,8.11,70554,65132,20342,Quality Control,17768
R029,Sharjah Petrochem,Abu Dhabi,Ajman Petro,659899,2002,1655,Onshore,25.85,8.19,216283,280828,162787,Administration,18308
R030,Ruwais Refinery,Ajman,UAQ Petroleum,247214,2016,2265,Imported,8.98,8.53,98643,117726,30844,Maintenance,19682
R031,Emirates Fuel Processing,Dubai,RAK Oil,701306,2022,594,Onshore,13.23,7.17,210544,333268,157493,Maintenance,18831
R032,Fujairah Refinery,Fujairah,Gulf Energy,329896,2010,672,Offshore,17.09,9.81,106730,157924,65241,Engineering,19750
R033,Fujairah Refinery,Abu Dhabi,UAE National Oil Co.,463488,2013,775,Mixed,20.64,7,171620,211908,79958,Maintenance,11839
R034,Dubai Energy Refinery,Fujairah,Emirates Petrochem,346549,1987,1957,Mixed,11.08,7.92,110872,151631,84045,Quality Control,15231
R035,Jebel Ali Refinery,Dubai,ADNOC Refining,107865,1982,1626,Onshore,25.78,5.04,44071,47959,15833,Quality Control,9997
R036,Al Ain Petro,Fujairah,Gulf Energy,675222,2009,2478,Onshore,24.43,7.85,222402,291319,161499,Quality Control,14834
R037,Emirates Fuel Processing,Ras Al Khaimah,UAE National Oil Co.,169176,1986,533,Imported,34.68,7.92,65909,78309,24956,Quality Control,9526
R038,Emirates Fuel Processing,Fujairah,ENOC,244461,2004,2224,Imported,2.38,7.09,102774,105908,35777,Quality Control,11052
R039,Dubai Energy Refinery,Dubai,Ajman Petro,384567,2006,2206,Imported,22.8,8,105605,197277,81684,Quality Control,16890
R040,Ruwais Refinery,Umm Al Quwain,Sharjah Refining Ltd.,255359,1996,2069,Onshore,34.71,9.54,91726,101709,61923,Administration,16299
R041,Ajman Refinery,Fujairah,Sharjah Refining Ltd.,310667,1998,466,Imported,27.57,8.71,108386,136199,66081,Engineering,10210
R042,Jebel Ali Refinery,Dubai,Fujairah Energy,331582,2005,2248,Mixed,11.86,7.39,133775,137225,60581,Maintenance,20429
R043,ADNOC Refining Plant,Umm Al Quwain,UAQ Petroleum,668796,2005,1704,Imported,14.69,9.16,315789,273002,80004,Administration,19582
R044,ADNOC Refining Plant,Dubai,Gulf Energy,259470,2004,1366,Imported,30.81,7.19,82853,117716,58900,Engineering,12234
R045,Emirates Fuel Processing,Umm Al Quwain,Sharjah Refining Ltd.,169135,1977,1321,Mixed,12.76,6.69,79993,57502,31639,Administration,21892
R046,ADNOC Refining Plant,Ras Al Khaimah,Fujairah Energy,155393,2007,1794,Onshore,32.2,5.73,56032,80606,18754,Engineering,14328
R047,ADNOC Refining Plant,Fujairah,RAK Oil,889429,1988,527,Mixed,22.77,6.09,384447,307119,197862,Engineering,24413
R048,Ajman Refinery,Umm Al Quwain,Sharjah Refining Ltd.,638382,2014,1414,Mixed,22.74,5.89,233971,321889,82521,Maintenance,21871
R049,Dubai Energy Refinery,Sharjah,UAQ Petroleum,61178,2002,737,Onshore,14.71,8.5,18286,29478,13412,Quality Control,16346
R050,Umm Al Quwain Refining Co.,Sharjah,UAE National Oil Co.,821917,1989,2388,Offshore,15.92,6.34,247191,384916,189808,Engineering,21704
R051,ADNOC Refining Plant,Abu Dhabi,Sharjah Refining Ltd.,416859,2022,1145,Imported,14.04,5.47,145457,183522,87879,Operations,11788
R052,Sharjah Petrochem,Ajman,ADNOC Refining,189280,1976,616,Mixed,1.53,7.67,67016,79599,42663,Engineering,21894
R053,Ajman Refinery,Dubai,Emirates Petrochem,355426,1976,1474,Imported,7.22,9.59,126254,150531,78639,Quality Control,16903
R054,Umm Al Quwain Refining Co.,Ras Al Khaimah,Fujairah Energy,535485,1995,1555,Onshore,15.23,6.44,189470,240150,105864,Maintenance,24110
R055,ADNOC Refining Plant,Dubai,RAK Oil,452559,2019,1970,Imported,33.85,8.12,182857,188067,81633,Quality Control,24192
R056,ADNOC Refining Plant,Dubai,Ajman Petro,248346,2015,963,Onshore,20.81,8.73,70345,118699,59300,Administration,21428
R057,ADNOC Refining Plant,Ajman,Emirates Petrochem,862958,2000,1664,Mixed,21.46,6.67,359983,378744,124230,Quality Control,17659
R058,Fujairah Refinery,Abu Dhabi,UAE National Oil Co.,399486,2008,2366,Offshore,13.73,8.41,125199,195266,79020,Engineering,13882
R059,Fujairah Refinery,Umm Al Quwain,Gulf Energy,275282,1990,2279,Imported,27.59,8.7,119320,117925,38035,Operations,8181
R060,ADNOC Refining Plant,Sharjah,Ajman Petro,548303,2009,432,Mixed,13.81,9.44,209885,219312,119104,Engineering,22305
R061,Fujairah Refinery,Sharjah,Emirates Petrochem,688930,1989,540,Mixed,10.89,9.72,259993,298487,130448,Operations,23355
R062,Ruwais Refinery,Umm Al Quwain,Ajman Petro,218826,2015,640,Offshore,8.6,9.89,80293,91424,47108,Quality Control,14819
R063,Ajman Refinery,Dubai,ENOC,288578,2020,301,Offshore,15.56,5.35,87809,146051,54716,Operations,9652
R064,Umm Al Quwain Refining Co.,Ajman,ADNOC Refining,422459,1994,2379,Imported,20.51,8.44,144242,212855,65360,Maintenance,15706
R065,Al Ain Petro,Sharjah,Gulf Energy,144529,2018,1802,Offshore,33.43,9.99,41521,76857,26150,Operations,23422
R066,Dubai Energy Refinery,Sharjah,Gulf Energy,113498,2016,860,Onshore,11.6,7.85,40504,47310,25683,Engineering,17931
R067,Fujairah Refinery,Dubai,UAE National Oil Co.,247603,2000,1156,Mixed,14.7,7.75,94038,118901,34662,Operations,23703
R068,ADNOC Refining Plant,Sharjah,ENOC,741045,1998,1073,Imported,10.88,6.27,252323,369067,119654,Quality Control,12168
R069,Umm Al Quwain Refining Co.,Ajman,Emirates Petrochem,517684,2001,1043,Imported,23.98,9.9,205113,192392,120178,Maintenance,10591
R070,Umm Al Quwain Refining Co.,Sharjah,Gulf Energy,522602,1985,1742,Onshore,23.75,5.99,214054,222857,85689,Administration,17768
R071,Fujairah Refinery,Sharjah,Emirates Petrochem,175064,1987,622,Mixed,33.18,7.87,71772,63156,40134,Operations,15215
R072,Emirates Fuel Processing,Ajman,Emirates Petrochem,855564,2018,506,Offshore,7.86,8.99,293560,405671,156332,Administration,9552
R073,Ruwais Refinery,Fujairah,UAE National Oil Co.,423026,2005,2258,Offshore,4.35,6.03,167636,192021,63367,Administration,17697
R074,Ajman Refinery,Dubai,Gulf Energy,466985,1994,1548,Offshore,17.45,6.18,168835,194945,103203,Operations,17812
R075,Al Ain Petro,Ras Al Khaimah,UAE National Oil Co.,154962,2015,2167,Onshore,31.74,8.89,53174,66532,35255,Operations,19165
R076,Dubai Energy Refinery,Sharjah,Fujairah Energy,461929,2020,723,Mixed,11.04,7.84,193493,198864,69570,Operations,8489
R077,Dubai Energy Refinery,Sharjah,ADNOC Refining,129639,2009,1490,Onshore,13.63,7.67,59387,56118,14133,Administration,16241
R078,Ajman Refinery,Sharjah,Sharjah Refining Ltd.,84790,1980,1070,Mixed,32,6.57,31411,39910,13468,Engineering,22056
R079,Sharjah Petrochem,Fujairah,RAK Oil,167657,2019,1121,Imported,24.22,6.58,63402,63504,40750,Engineering,20263
R080,Umm Al Quwain Refining Co.,Sharjah,Ajman Petro,802964,1990,976,Imported,30.21,9.77,258670,384842,159451,Operations,18077
R081,Umm Al Quwain Refining Co.,Sharjah,RAK Oil,375721,2018,1456,Onshore,25.64,6.22,161389,146066,68264,Quality Control,13504
R082,Al Ain Petro,Fujairah,Sharjah Refining Ltd.,324851,1997,580,Offshore,9.55,6.83,142927,119569,62354,Operations,9275
R083,Al Ain Petro,Sharjah,ENOC,392852,1995,978,Onshore,32.61,7.22,158988,183571,50292,Engineering,19126
R084,Emirates Fuel Processing,Ajman,Ajman Petro,730089,1984,1554,Imported,8.36,8.49,297430,347538,85119,Maintenance,24653
R085,Sharjah Petrochem,Ajman,RAK Oil,831573,1995,2161,Offshore,8.68,5.25,225974,439729,165869,Engineering,20776
R086,Dubai Energy Refinery,Dubai,Sharjah Refining Ltd.,699306,2016,2348,Imported,29.1,5.12,293488,247113,158703,Operations,24205
R087,Dubai Energy Refinery,Ajman,RAK Oil,219974,2013,1611,Onshore,23.3,6.07,80556,100109,39308,Operations,16565
R088,Jebel Ali Refinery,Umm Al Quwain,ENOC,424535,1976,584,Mixed,24.8,5.43,170990,143083,110461,Engineering,22146
R089,Sharjah Petrochem,Ajman,Emirates Petrochem,454247,1982,685,Offshore,5.36,8.76,151576,219096,83574,Operations,8375
R090,ADNOC Refining Plant,Umm Al Quwain,Sharjah Refining Ltd.,726064,2021,1420,Imported,31.57,8.27,245606,368343,112114,Quality Control,15430
R091,Al Ain Petro,Ras Al Khaimah,UAE National Oil Co.,249543,2015,1731,Mixed,28.19,7.64,85811,116161,47570,Quality Control,24631
R092,Ruwais Refinery,Dubai,UAE National Oil Co.,781063,1985,1921,Imported,12.82,9.02,326309,328462,126290,Administration,12878
R093,Umm Al Quwain Refining Co.,Umm Al Quwain,Emirates Petrochem,446053,1994,800,Onshore,8.41,6.01,184612,163082,98357,Quality Control,24738
R094,Al Ain Petro,Ras Al Khaimah,RAK Oil,321869,2007,2302,Mixed,21.8,5.57,107948,122321,91598,Maintenance,17192
R095,ADNOC Refining Plant,Sharjah,Gulf Energy,512859,2003,650,Offshore,4.48,5.9,168276,215994,128587,Administration,10329
R096,Al Ain Petro,Umm Al Quwain,UAQ Petroleum,100519,1982,1717,Imported,26.31,6.41,39937,41105,19475,Administration,20337
R097,Sharjah Petrochem,Umm Al Quwain,UAQ Petroleum,104578,2005,1274,Imported,2.91,8.4,30668,46209,27700,Quality Control,11555
R098,Ajman Refinery,Abu Dhabi,UAQ Petroleum,354407,1997,1972,Onshore,11.67,9.11,140585,129535,84285,Quality Control,13726
R099,ADNOC Refining Plant,Abu Dhabi,Fujairah Energy,263572,1996,1428,Offshore,2.1,7.6,96817,125493,41261,Maintenance,9487
R100,Jebel Ali Refinery,Dubai,Emirates Petrochem,324384,1992,978,Mixed,8.9,6.11,123153,166205,35024,Administration,16428
R101,Ruwais Refinery,Fujairah,Sharjah Refining Ltd.,271194,2022,2456,Mixed,2.74,7.6,80330,139599,51264,Engineering,14479
R102,Ajman Refinery,Abu Dhabi,Gulf Energy,842484,2000,1895,Onshore,22.82,6.9,375236,293852,173394,Administration,22954
R103,Ajman Refinery,Sharjah,UAQ Petroleum,692736,2017,1923,Onshore,27.24,5.4,237972,320079,134683,Engineering,21342
R104,Ajman Refinery,Dubai,ADNOC Refining,854536,1978,1349,Onshore,31.77,8.19,290182,345899,218453,Maintenance,23348
R105,Umm Al Quwain Refining Co.,Abu Dhabi,Fujairah Energy,63045,1977,2205,Mixed,10.31,5.24,25916,30155,6973,Administration,12123
R106,Jebel Ali Refinery,Dubai,UAE National Oil Co.,688711,2023,2368,Mixed,21.72,6.42,235608,302218,150884,Administration,12519
R107,Ajman Refinery,Fujairah,ENOC,746326,1992,1270,Onshore,17.29,5.5,308860,332344,105121,Maintenance,14318
R108,Emirates Fuel Processing,Fujairah,Sharjah Refining Ltd.,603354,2015,1909,Imported,20.12,5.56,231691,277245,94417,Engineering,19028
R109,Dubai Energy Refinery,Fujairah,ADNOC Refining,755091,2017,1810,Onshore,6.66,7.88,351470,299402,104218,Quality Control,11069
R110,Ajman Refinery,Abu Dhabi,Ajman Petro,363442,1989,325,Imported,15.45,8.98,139041,170979,53421,Engineering,14760
R111,Sharjah Petrochem,Dubai,UAE National Oil Co.,562993,1995,496,Offshore,4.35,8.56,164229,290498,108265,Administration,14567
R112,Ajman Refinery,Ajman,Emirates Petrochem,584664,1995,1197,Offshore,10.35,9.28,199207,303386,82069,Operations,9108
R113,Ajman Refinery,Dubai,ENOC,708352,1984,1487,Imported,14.31,5.66,297843,232016,178491,Administration,18815
R114,Fujairah Refinery,Fujairah,UAE National Oil Co.,471166,2015,868,Offshore,3.58,9.02,163658,187755,119751,Operations,17683
R115,Umm Al Quwain Refining Co.,Dubai,Gulf Energy,825313,2010,553,Onshore,30.55,5.24,273756,426635,124921,Engineering,12140
R116,Umm Al Quwain Refining Co.,Dubai,UAQ Petroleum,350112,2010,665,Offshore,30.86,7.78,121456,156827,71827,Operations,9728
R117,Sharjah Petrochem,Fujairah,Gulf Energy,813105,2002,881,Mixed,4.96,9.74,309890,299762,203451,Quality Control,17359
R118,Jebel Ali Refinery,Sharjah,UAE National Oil Co.,893519,1995,2409,Offshore,5.23,6.52,294681,423989,174848,Quality Control,15881
R119,Dubai Energy Refinery,Ras Al Khaimah,Ajman Petro,675213,2003,737,Offshore,15.37,9.88,256061,241861,177289,Engineering,19384
R120,Ruwais Refinery,Fujairah,ENOC,513255,2004,2399,Offshore,1.71,6,207369,247703,58181,Administration,21319
R121,Dubai Energy Refinery,Sharjah,Fujairah Energy,178005,2022,2298,Mixed,11.86,6.57,81247,70421,26335,Maintenance,13810
R122,Dubai Energy Refinery,Sharjah,Sharjah Refining Ltd.,442148,2004,865,Offshore,17.54,5.36,149967,219565,72615,Engineering,13367
R123,ADNOC Refining Plant,Ras Al Khaimah,Emirates Petrochem,777913,1995,2472,Mixed,30.01,6.19,264024,349239,164649,Administration,24643
R124,ADNOC Refining Plant,Ras Al Khaimah,Gulf Energy,259063,2011,1312,Onshore,19.03,8.98,76749,139756,42556,Maintenance,20716
R125,Ruwais Refinery,Abu Dhabi,Gulf Energy,351109,1986,1260,Imported,29.26,7.51,140440,168367,42301,Engineering,10785
R126,Al Ain Petro,Ras Al Khaimah,UAQ Petroleum,545839,2000,726,Imported,31.36,5.48,215143,209620,121074,Operations,17914
R127,Jebel Ali Refinery,Abu Dhabi,Ajman Petro,104095,1996,1843,Offshore,27.45,5.82,46194,44028,13872,Operations,20516
R128,Ruwais Refinery,Abu Dhabi,ENOC,466967,2022,2496,Offshore,12.39,9.4,213448,192036,61481,Engineering,15557
R129,ADNOC Refining Plant,Ras Al Khaimah,ENOC,258788,2000,1403,Mixed,24.83,9.63,92458,109412,56917,Quality Control,10559
R130,Al Ain Petro,Fujairah,Ajman Petro,292881,2016,2249,Offshore,13.94,6.72,113530,111212,68138,Maintenance,20053
R131,ADNOC Refining Plant,Ras Al Khaimah,UAQ Petroleum,83845,1983,946,Imported,20.25,9.32,37069,35661,11113,Operations,11467
R132,Al Ain Petro,Sharjah,UAQ Petroleum,659239,2018,930,Onshore,11.29,7.3,253898,258769,146570,Quality Control,23734
R133,Umm Al Quwain Refining Co.,Umm Al Quwain,Gulf Energy,226168,1987,2268,Imported,16.26,8.12,96952,89920,39295,Engineering,23738
R134,Umm Al Quwain Refining Co.,Abu Dhabi,ENOC,142494,1998,2264,Onshore,4.14,8.72,41906,76963,23624,Operations,22133
R135,Dubai Energy Refinery,Umm Al Quwain,Emirates Petrochem,276530,2021,2486,Imported,3.56,8.58,101564,102966,71998,Maintenance,14618
R136,Ruwais Refinery,Ajman,Emirates Petrochem,746610,2007,2317,Onshore,27.05,6.69,259493,368052,119063,Maintenance,22228
R137,Sharjah Petrochem,Fujairah,Emirates Petrochem,864048,1995,1598,Imported,32.96,7.22,352311,305605,206130,Quality Control,14406
R138,Dubai Energy Refinery,Abu Dhabi,Ajman Petro,704487,1987,2463,Offshore,2.05,9.54,282164,233039,189283,Operations,21818
R139,Fujairah Refinery,Umm Al Quwain,ENOC,374910,1986,836,Onshore,15.32,5.45,160733,130478,83697,Quality Control,9662
R140,ADNOC Refining Plant,Umm Al Quwain,Sharjah Refining Ltd.,145648,1983,2046,Imported,15.08,9.23,47145,72723,25778,Maintenance,10613
R141,Emirates Fuel Processing,Ras Al Khaimah,Fujairah Energy,248445,1992,346,Mixed,23.95,7.67,93123,103620,51701,Maintenance,19234
R142,Al Ain Petro,Sharjah,Gulf Energy,795289,2018,2436,Onshore,3.91,5.84,321617,345916,127755,Engineering,22675
R143,Emirates Fuel Processing,Sharjah,Sharjah Refining Ltd.,475377,1977,2435,Mixed,17.2,8.95,193201,207506,74669,Operations,22537
R144,Dubai Energy Refinery,Ajman,Emirates Petrochem,188302,2010,1367,Onshore,28.89,6.33,80453,72482,35365,Quality Control,13896
R145,Jebel Ali Refinery,Fujairah,Fujairah Energy,467048,2014,558,Mixed,19.5,6.63,144025,250718,72304,Quality Control,14206
R146,Emirates Fuel Processing,Ajman,Sharjah Refining Ltd.,588298,1983,611,Offshore,20.92,7.62,267794,203784,116718,Administration,14357
R147,Dubai Energy Refinery,Umm Al Quwain,ADNOC Refining,324769,1998,2386,Offshore,4.88,5.3,116492,139488,68787,Maintenance,18434
R148,Fujairah Refinery,Abu Dhabi,RAK Oil,614828,2021,335,Mixed,25.92,9.67,189718,306500,118608,Maintenance,23400
R149,Jebel Ali Refinery,Dubai,RAK Oil,734932,1981,600,Mixed,14.36,5.7,258501,332817,143612,Maintenance,10694
R150,Fujairah Refinery,Sharjah,UAE National Oil Co.,117950,1979,1650,Mixed,15.62,8.26,59117,43344,15488,Quality Control,13907
R151,Fujairah Refinery,Abu Dhabi,Fujairah Energy,360920,2009,2275,Imported,27.18,7.39,154144,127710,79064,Engineering,16093
R152,ADNOC Refining Plant,Abu Dhabi,ENOC,520878,2008,2104,Offshore,7.24,6.97,208977,223432,88467,Operations,24738
R153,Dubai Energy Refinery,Ajman,UAQ Petroleum,256601,1987,717,Mixed,4.74,5.58,114266,108683,33650,Administration,20963
R154,Emirates Fuel Processing,Umm Al Quwain,Gulf Energy,500411,1994,936,Mixed,3.16,7.43,162596,229873,107940,Operations,23449
R155,Emirates Fuel Processing,Umm Al Quwain,RAK Oil,635856,1977,1625,Mixed,19.77,8.64,270102,239084,126669,Engineering,10917
R156,Al Ain Petro,Abu Dhabi,UAQ Petroleum,864692,2006,2143,Imported,21.37,6.57,296110,437578,131003,Operations,10391
R157,Ajman Refinery,Fujairah,Gulf Energy,885529,1983,2499,Mixed,32.18,8.06,357821,430225,97482,Quality Control,18664
R158,Al Ain Petro,Ajman,UAE National Oil Co.,117007,2015,1909,Onshore,2.52,5.27,40780,61458,14767,Quality Control,9269
R159,Ajman Refinery,Abu Dhabi,Gulf Energy,517485,1998,2435,Imported,32.69,5.82,166684,274569,76231,Engineering,12730
R160,Ruwais Refinery,Ras Al Khaimah,RAK Oil,749580,2009,993,Onshore,30.31,8.05,281949,353586,114043,Quality Control,13068
R161,Sharjah Petrochem,Umm Al Quwain,Fujairah Energy,597745,2008,1580,Offshore,33.91,5.26,184177,254227,159340,Administration,15897
R162,Ajman Refinery,Ajman,Ajman Petro,367500,2009,2188,Imported,14.02,9.51,152936,176306,38256,Operations,20244
R163,Jebel Ali Refinery,Fujairah,Fujairah Energy,623125,2011,1852,Offshore,11.33,7.47,295303,245724,82096,Operations,11241
R164,Dubai Energy Refinery,Ras Al Khaimah,Ajman Petro,109380,2007,1947,Onshore,16.43,5.44,36824,51166,21389,Quality Control,24395
R165,Al Ain Petro,Fujairah,ENOC,59144,1995,543,Onshore,18.09,7.49,19486,30539,9117,Administration,18363
R166,Fujairah Refinery,Ajman,ENOC,177461,2001,2209,Mixed,13.99,8.04,77600,62643,37217,Administration,10931
R167,Al Ain Petro,Sharjah,UAQ Petroleum,667842,2022,1971,Mixed,33.74,6.74,267552,241127,159162,Maintenance,22231
R168,Jebel Ali Refinery,Umm Al Quwain,Gulf Energy,105926,1984,368,Onshore,30.58,9.43,41257,49466,15202,Quality Control,23554
R169,Dubai Energy Refinery,Ras Al Khaimah,Sharjah Refining Ltd.,679175,2011,2475,Onshore,22.28,5.28,246506,242910,189757,Administration,23957
R170,Jebel Ali Refinery,Sharjah,ADNOC Refining,177615,2007,1245,Offshore,22.98,9.76,70788,70150,36676,Quality Control,17316
R171,Jebel Ali Refinery,Fujairah,UAE National Oil Co.,389707,2012,1559,Imported,2.29,7.96,170666,174494,44546,Maintenance,17994
R172,Umm Al Quwain Refining Co.,Ajman,Fujairah Energy,515060,1978,1577,Offshore,2.52,9.2,211678,177906,125475,Quality Control,11512
R173,Dubai Energy Refinery,Dubai,Gulf Energy,548014,2007,1683,Imported,20.84,8.77,207793,248477,91743,Operations,19883
R174,Al Ain Petro,Fujairah,UAE National Oil Co.,852677,2018,1940,Offshore,32.04,9.52,292626,379579,180471,Operations,15543
R175,ADNOC Refining Plant,Umm Al Quwain,Gulf Energy,362769,2000,1339,Onshore,29.12,6.2,121672,179474,61621,Operations,19168
R176,Ajman Refinery,Dubai,UAE National Oil Co.,625432,1976,1799,Imported,32.55,7,259860,260157,105413,Engineering,24818
R177,Emirates Fuel Processing,Ajman,UAE National Oil Co.,732143,2022,1000,Mixed,9.55,7.56,243588,284681,203873,Engineering,24872
R178,ADNOC Refining Plant,Abu Dhabi,Ajman Petro,583277,2014,2001,Onshore,4.77,8.43,175274,259959,148042,Operations,15012
R179,Umm Al Quwain Refining Co.,Ajman,Ajman Petro,277404,2023,304,Mixed,3,8.62,100413,127008,49981,Administration,11585
R180,Ruwais Refinery,Ajman,ENOC,377771,2019,2205,Onshore,9.08,9.49,120964,178841,77964,Maintenance,11760
R181,Sharjah Petrochem,Fujairah,UAE National Oil Co.,60563,2015,2290,Mixed,22.46,6.83,23051,29803,7708,Operations,14565
R182,Fujairah Refinery,Abu Dhabi,UAE National Oil Co.,342488,2023,2391,Mixed,20.33,6.51,119330,167911,55246,Operations,13169
R183,Ajman Refinery,Dubai,Gulf Energy,882160,2008,906,Mixed,29.5,9.72,291680,476337,114141,Maintenance,23252
R184,ADNOC Refining Plant,Abu Dhabi,ENOC,294002,1981,1555,Imported,13.38,9.18,105224,142432,46345,Operations,15374
R185,Jebel Ali Refinery,Ras Al Khaimah,Fujairah Energy,861287,2023,1950,Offshore,24.98,9.5,311280,403090,146916,Quality Control,8744
R186,Al Ain Petro,Ajman,ENOC,410914,1977,2121,Mixed,18.45,6.61,150865,183777,76271,Engineering,21439
R187,Ruwais Refinery,Abu Dhabi,UAQ Petroleum,495182,1990,2197,Mixed,2.95,5.5,197826,176550,120804,Quality Control,24575
R188,Dubai Energy Refinery,Ajman,Gulf Energy,477402,1975,1529,Offshore,21.8,8.56,159665,244109,73627,Maintenance,13972
R189,Ruwais Refinery,Sharjah,UAQ Petroleum,177553,1980,885,Onshore,25.38,8.3,66878,73588,37086,Operations,11854
R190,Ruwais Refinery,Ras Al Khaimah,ENOC,493955,2015,392,Mixed,9.2,7.25,192995,230292,70666,Administration,10205
R191,ADNOC Refining Plant,Sharjah,Sharjah Refining Ltd.,263646,1979,1197,Offshore,30.37,6.93,92145,133789,37711,Quality Control,24598
R192,Al Ain Petro,Umm Al Quwain,ENOC,139456,1993,2455,Offshore,10.3,9.48,58965,50630,29859,Maintenance,8143
R193,ADNOC Refining Plant,Sharjah,RAK Oil,836624,1989,2475,Imported,4.7,9.16,278665,388346,169611,Administration,10270
R194,Ruwais Refinery,Fujairah,UAQ Petroleum,274938,1983,996,Mixed,24.18,9.45,78808,137071,59057,Maintenance,17140
R195,Jebel Ali Refinery,Umm Al Quwain,Sharjah Refining Ltd.,516831,1982,1564,Mixed,16.55,9.7,191537,221994,103298,Administration,14101
R196,ADNOC Refining Plant,Ras Al Khaimah,ADNOC Refining,226670,1981,1676,Imported,14.37,8.15,68905,99882,57881,Engineering,13595
R197,Umm Al Quwain Refining Co.,Umm Al Quwain,Emirates Petrochem,896216,2001,2446,Imported,17.85,5.02,255337,397662,243216,Administration,10845
R198,Umm Al Quwain Refining Co.,Abu Dhabi,UAQ Petroleum,365528,1975,785,Mixed,17.98,5.38,141592,145975,77959,Engineering,20929
